"Position","Nation","PlayerName","Team"
"MF","FRA","Moussa Diaby","AstonVilla"
"MF","ITA","Nicolò Zaniolo (on loan from  Galatasaray)","AstonVilla"
"FW","COL","Jhon Durán","AstonVilla"
"GK","SWE","Robin Olsen","AstonVilla"
"DF","ENG","Kortney Hause","AstonVilla"
"MF","JAM","Leon Bailey","AstonVilla"
"MF","BEL","Leander Dendoncker","AstonVilla"
"MF","ENG","Jacob Ramsey","AstonVilla"
"MF","FRA","Boubacar Kamara","AstonVilla"
"MF","ENG","Tim Iroegbunam","AstonVilla"
"GK","TUR","Altay Bayındır","ManchesterUnited"
"DF","SWE","Victor Lindelöf","ManchesterUnited"
"MF","MAR","Sofyan Amrabat (on loan from Fiorentina)[220]","ManchesterUnited"
"DF","ENG","Harry Maguire","ManchesterUnited"
"DF","ARG","Lisandro Martínez","ManchesterUnited"
"MF","ENG","Mason Mount","ManchesterUnited"
"MF","POR","Bruno Fernandes (captain)","ManchesterUnited"
"FW","FRA","Anthony Martial","ManchesterUnited"
"FW","ENG","Marcus Rashford","ManchesterUnited"
"FW","DEN","Rasmus Højlund","ManchesterUnited"
"DF","NED","Tyrell Malacia","ManchesterUnited"
"MF","DEN","Christian Eriksen","ManchesterUnited"
"DF","ESP","Sergio Reguilón (on loan from Tottenham Hotspur)[221]","ManchesterUnited"
"MF","CIV","Amad Diallo","ManchesterUnited"
"FW","ARG","Alejandro Garnacho","ManchesterUnited"
"MF","BRA","Casemiro","ManchesterUnited"
"DF","FRA","Raphaël Varane","ManchesterUnited"
"DF","POR","Diogo Dalot","ManchesterUnited"
"FW","BRA","Antony","ManchesterUnited"
"GK","ENG","Tom Heaton","ManchesterUnited"
"DF","ENG","Luke Shaw","ManchesterUnited"
"GK","CMR","André Onana","ManchesterUnited"
"FW","ENG","Jadon Sancho","ManchesterUnited"
"MF","URU","Facundo Pellistri","ManchesterUnited"
"DF","ENG","Aaron Wan-Bissaka","ManchesterUnited"
"MF","NED","Donny van de Beek","ManchesterUnited"
"DF","NIR","Jonny Evans","ManchesterUnited"
"MF","ENG","Kobbie Mainoo","ManchesterUnited"
"MF","SCO","Scott McTominay","ManchesterUnited"
"MF","TUN","Hannibal Mejbri","ManchesterUnited"
"FW","ENG","Shola Shoretire","ManchesterUnited"
"GK","SVK","Martin Dúbravka","NewcastleUnited"
"DF","ENG","Kieran Trippier (vice-captain)","NewcastleUnited"
"DF","WAL","Paul Dummett","NewcastleUnited"
"DF","NED","Sven Botman","NewcastleUnited"
"DF","SUI","Fabian Schär","NewcastleUnited"
"DF","ENG","Jamaal Lascelles (captain)","NewcastleUnited"
"MF","BRA","Joelinton","NewcastleUnited"
"MF","ITA","Sandro Tonali (suspended)[170]","NewcastleUnited"
"FW","ENG","Callum Wilson","NewcastleUnited"
"FW","ENG","Anthony Gordon","NewcastleUnited"
"MF","SCO","Matt Ritchie","NewcastleUnited"
"DF","ENG","Matt Targett","NewcastleUnited"
"FW","SWE","Alexander Isak","NewcastleUnited"
"MF","ENG","Harvey Barnes","NewcastleUnited"
"DF","SWE","Emil Krafth","NewcastleUnited"
"GK","GER","Loris Karius","NewcastleUnited"
"DF","ESP","Javier Manquillo","NewcastleUnited"
"DF","ENG","Lewis Hall (on loan from Chelsea)","NewcastleUnited"
"DF","ENG","Tino Livramento","NewcastleUnited"
"GK","ENG","Nick Pope","NewcastleUnited"
"MF","ENG","Jacob Murphy","NewcastleUnited"
"MF","PAR","Miguel Almirón","NewcastleUnited"
"MF","ENG","Joe Willock","NewcastleUnited"
"GK","ENG","Mark Gillespie","NewcastleUnited"
"MF","ENG","Elliot Anderson","NewcastleUnited"
"DF","ENG","Dan Burn","NewcastleUnited"
"MF","ENG","Sean Longstaff","NewcastleUnited"
"MF","BRA","Bruno Guimarães","NewcastleUnited"
"MF","ENG","Lewis Miley","NewcastleUnited"
"GK","NED","Bart Verbruggen","Brighton"
"DF","GHA","Tariq Lamptey","Brighton"
"DF","BRA","Igor Julio","Brighton"
"DF","ENG","Adam Webster","Brighton"
"DF","ENG","Lewis Dunk (captain)","Brighton"
"MF","ENG","James Milner","Brighton"
"MF","ENG","Solly March","Brighton"
"MF","GER","Mahmoud Dahoud","Brighton"
"FW","BRA","João Pedro","Brighton"
"FW","PAR","Julio Enciso","Brighton"
"MF","SCO","Billy Gilmour","Brighton"
"MF","GER","Pascal Groß","Brighton"
"MF","ENG","Adam Lallana","Brighton"
"MF","POL","Jakub Moder","Brighton"
"FW","ENG","Danny Welbeck","Brighton"
"MF","CMR","Carlos Baleba","Brighton"
"MF","JPN","Kaoru Mitoma","Brighton"
"GK","ENG","Jason Steele","Brighton"
"MF","CIV","Simon Adingra","Brighton"
"FW","IRL","Evan Ferguson","Brighton"
"DF","NED","Jan Paul van Hecke","Brighton"
"DF","ECU","Pervis Estupiñán","Brighton"
"FW","ESP","Ansu Fati (on loan from Barcelona)","Brighton"
"DF","NED","Joël Veltman","Brighton"
"GK","CAN","Tom McGill","Brighton"
"MF","ARG","Facundo Buonanotte","Brighton"
"GK","POL","Łukasz Fabiański","WestHam"
"DF","ENG","Ben Johnson","WestHam"
"DF","ENG","Aaron Cresswell","WestHam"
"DF","FRA","Kurt Zouma (captain)","WestHam"
"DF","CZE","Vladimír Coufal","WestHam"
"MF","ENG","James Ward-Prowse","WestHam"
"MF","ESP","Pablo Fornals","WestHam"
"FW","JAM","Michail Antonio","WestHam"
"MF","BRA","Lucas Paquetá","WestHam"
"FW","GHA","Mohammed Kudus","WestHam"
"DF","GRE","Konstantinos Mavropanos","WestHam"
"FW","CIV","Maxwel Cornet","WestHam"
"FW","ENG","Danny Ings","WestHam"
"MF","MEX","Edson Álvarez","WestHam"
"MF","ENG","Jarrod Bowen","WestHam"
"DF","ITA","Angelo Ogbonna","WestHam"
"FW","ALG","Saïd Benrahma","WestHam"
"GK","FRA","Alphonse Areola","WestHam"
"DF","GER","Thilo Kehrer","WestHam"
"DF","MAR","Nayef Aguerd","WestHam"
"MF","CZE","Tomáš Souček","WestHam"
"DF","ITA","Emerson Palmieri","WestHam"
"GK","ENG","Joseph Anang","WestHam"
"GK","POR","José Sá","Wolves"
"DF","IRL","Matt Doherty","Wolves"
"DF","ALG","Rayan Aït-Nouri","Wolves"
"DF","URU","Santiago Bueno","Wolves"
"MF","GAB","Mario Lemina","Wolves"
"MF","MLI","Boubacar Traoré","Wolves"
"FW","POR","Pedro Neto","Wolves"
"MF","BRA","João Gomes","Wolves"
"FW","POR","Fábio Silva","Wolves"
"FW","KOR","Hwang Hee-chan","Wolves"
"FW","BRA","Matheus Cunha","Wolves"
"DF","ENG","Craig Dawson","Wolves"
"DF","ESP","Hugo Bueno","Wolves"
"FW","AUT","Saša Kalajdžić","Wolves"
"DF","ESP","Jonny","Wolves"
"MF","ENG","Tommy Doyle (on loan from Manchester City)","Wolves"
"MF","ESP","Pablo Sarabia","Wolves"
"DF","POR","Nélson Semedo","Wolves"
"DF","ENG","Max Kilman (captain)","Wolves"
"DF","POR","Toti Gomes","Wolves"
"GK","ENG","Dan Bentley (vice-captain)","Wolves"
"MF","FRA","Jean-Ricner Bellegarde","Wolves"
"FW","PAR","Enso González","Wolves"
"MF","IRL","Joe Hodge","Wolves"
"GK","WAL","Tom King","Wolves"
"FW","IRL","Nathan Fraser","Wolves"
"GK","USA","Matt Turner","NottingHamForest"
"DF","POR","Nuno Tavares (on loan from Arsenal)","NottingHamForest"
"DF","ENG","Joe Worrall (captain)","NottingHamForest"
"MF","BEL","Orel Mangala","NottingHamForest"
"MF","CIV","Ibrahim Sangaré","NottingHamForest"
"DF","WAL","Neco Williams","NottingHamForest"
"MF","SEN","Cheikhou Kouyaté","NottingHamForest"
"FW","NGA","Taiwo Awoniyi","NottingHamForest"
"MF","ENG","Morgan Gibbs-White (4th captain)","NottingHamForest"
"FW","NZL","Chris Wood","NottingHamForest"
"MF","BRA","Andrey Santos (on loan from Chelsea)","NottingHamForest"
"GK","WAL","Wayne Hennessey","NottingHamForest"
"FW","ENG","Callum Hudson-Odoi","NottingHamForest"
"DF","ENG","Harry Toffolo","NottingHamForest"
"MF","ARG","Nicolás Domínguez","NottingHamForest"
"DF","BRA","Felipe","NottingHamForest"
"DF","SEN","Moussa Niakhaté","NottingHamForest"
"FW","SWE","Anthony Elanga","NottingHamForest"
"MF","ENG","Ryan Yates (vice-captain)","NottingHamForest"
"GK","GRE","Odysseas Vlachodimos","NottingHamForest"
"DF","CIV","Serge Aurier (3rd captain)","NottingHamForest"
"DF","SCO","Scott McKenna","NottingHamForest"
"FW","BEL","Divock Origi (on loan from AC Milan)","NottingHamForest"
"MF","BRA","Danilo","NottingHamForest"
"DF","ARG","Gonzalo Montiel (on loan from Sevilla)","NottingHamForest"
"DF","CIV","Willy Boly","NottingHamForest"
"DF","IRL","Andrew Omobamidele","NottingHamForest"
"DF","BRA","Murillo","NottingHamForest"
"MF","CRC","Brandon Aguilera","NottingHamForest"
"DF","NGA","Ola Aina","NottingHamForest"
"GK","SVK","Marek Rodák","Fulham"
"DF","NED","Kenny Tete","Fulham"
"DF","NGA","Calvin Bassey","Fulham"
"DF","ENG","Tosin Adarabioyo","Fulham"
"MF","ENG","Harrison Reed","Fulham"
"FW","MEX","Raúl Jiménez","Fulham"
"MF","WAL","Harry Wilson","Fulham"
"MF","SCO","Tom Cairney (captain)[92]","Fulham"
"FW","ESP","Adama Traoré","Fulham"
"DF","SEN","Fodé Ballo-Touré (on loan from AC Milan)","Fulham"
"DF","USA","Tim Ream (vice-captain)","Fulham"
"FW","JAM","Bobby Decordova-Reid","Fulham"
"GK","GER","Bernd Leno","Fulham"
"Pos.","Nation","Player","Fulham"
"MF","BRA","Andreas Pereira","Fulham"
"FW","BRA","Rodrigo Muniz","Fulham"
"FW","BRA","Willian","Fulham"
"DF","BEL","Timothy Castagne","Fulham"
"MF","NGA","Alex Iwobi","Fulham"
"GK","GER","Steven Benda","Fulham"
"MF","POR","João Palhinha","Fulham"
"MF","SRB","Saša Lukić","Fulham"
"FW","BRA","Carlos Vinícius","Fulham"
"DF","FRA","Issa Diop","Fulham"
"DF","USA","Antonee Robinson","Fulham"
"MF","AUS","Tyrese Francois","Fulham"
"MF","WAL","Luke Harris","Fulham"
"GK","BRA","Neto (captain)","Bournemouth"
"DF","ENG","Ryan Fredericks","Bournemouth"
"DF","HUN","Milos Kerkez","Bournemouth"
"MF","ENG","Lewis Cook","Bournemouth"
"DF","ENG","Lloyd Kelly","Bournemouth"
"DF","WAL","Chris Mepham (3rd captain)","Bournemouth"
"MF","WAL","David Brooks (4th captain)","Bournemouth"
"MF","ENG","Joe Rothwell","Bournemouth"
"FW","ENG","Dominic Solanke","Bournemouth"
"MF","SCO","Ryan Christie","Bournemouth"
"MF","BFA","Dango Ouattara","Bournemouth"
"GK","IRL","Darren Randolph","Bournemouth"
"MF","DEN","Emiliano Marcondes","Bournemouth"
"MF","ENG","Alex Scott","Bournemouth"
"DF","ENG","Adam Smith (vice-captain)","Bournemouth"
"MF","ENG","Marcus Tavernier","Bournemouth"
"MF","COL","Luis Sinisterra (on loan from Leeds United)","Bournemouth"
"MF","USA","Tyler Adams","Bournemouth"
"FW","NED","Justin Kluivert","Bournemouth"
"GK","ROU","Ionuț Radu (on loan from Inter Milan)","Bournemouth"
"FW","WAL","Kieffer Moore","Bournemouth"
"MF","CIV","Hamed Traorè","Bournemouth"
"FW","GHA","Antoine Semenyo","Bournemouth"
"DF","ARG","Marcos Senesi","Bournemouth"
"MF","IRL","Gavin Kilkenny","Bournemouth"
"DF","UKR","Illya Zabarnyi","Bournemouth"
"MF","DEN","Philip Billing","Bournemouth"
"DF","ENG","Max Aarons","Bournemouth"
"GK","IRL","Mark Travers","Bournemouth"
"GK","ENG","James Shea","Luton"
"DF","ENG","Gabriel Osho","Luton"
"DF","ENG","Dan Potts","Luton"
"DF","WAL","Tom Lockyer (captain)","Luton"
"DF","DEN","Mads Juel Andersen","Luton"
"MF","ENG","Ross Barkley","Luton"
"FW","IRL","Chiedozie Ogbene","Luton"
"MF","ENG","Luke Berry","Luton"
"FW","ENG","Carlton Morris","Luton"
"FW","ENG","Cauley Woodrow","Luton"
"FW","ENG","Elijah Adebayo","Luton"
"DF","BFA","Issa Kaboré (on loan from Manchester City)","Luton"
"MF","ZIM","Marvelous Nakamba","Luton"
"Pos.","Nation","Player","Luton"
"MF","NED","Tahith Chong","Luton"
"DF","ENG","Teden Mengi","Luton"
"DF","ENG","Reece Burke","Luton"
"MF","COD","Pelly Ruddock Mpanzu","Luton"
"MF","ENG","Jordan Clark","Luton"
"FW","SCO","Jacob Brown","Luton"
"GK","NED","Tim Krul","Luton"
"GK","BEL","Thomas Kaminski","Luton"
"DF","ENG","Ryan Giles","Luton"
"MF","BEL","Albert Sambi Lokonga (on loan from Arsenal)","Luton"
"DF","JAM","Amari'i Bell","Luton"
"MF","ENG","Andros Townsend","Luton"
"MF","ENG","Alfie Doughty","Luton"
"GK","WAL","Adam Davies","ShieffieldUnited"
"DF","GRE","George Baldock","ShieffieldUnited"
"DF","ENG","Max Lowe","ShieffieldUnited"
"MF","SCO","John Fleck","ShieffieldUnited"
"DF","USA","Auston Trusty","ShieffieldUnited"
"DF","ENG","Chris Basham","ShieffieldUnited"
"FW","ENG","Rhian Brewster","ShieffieldUnited"
"MF","NED","Gustavo Hamer","ShieffieldUnited"
"FW","SCO","Oli McBurnie","ShieffieldUnited"
"FW","ENG","Cameron Archer","ShieffieldUnited"
"FW","CIV","Bénie Traoré","ShieffieldUnited"
"DF","IRL","John Egan (captain)","ShieffieldUnited"
"DF","ENG","Luke Thomas (on loan from Leicester City)","ShieffieldUnited"
"DF","BIH","Anel Ahmedhodžić","ShieffieldUnited"
"MF","NIR","Oliver Norwood","ShieffieldUnited"
"MF","MLI","Ismaila Coulibaly","ShieffieldUnited"
"GK","ENG","Wes Foderingham","ShieffieldUnited"
"DF","ENG","Jack Robinson","ShieffieldUnited"
"DF","ENG","Jayden Bogle","ShieffieldUnited"
"MF","BRA","Vinícius Souza","ShieffieldUnited"
"MF","ENG","Tom Davies","ShieffieldUnited"
"MF","ENG","Ben Osborn","ShieffieldUnited"
"MF","TUN","Anis Ben Slimane","ShieffieldUnited"
"DF","ALG","Yasser Larouci (on loan from Troyes)","ShieffieldUnited"
"MF","ENG","James McAtee (on loan from Manchester City)","ShieffieldUnited"
"FW","DEN","William Osula","ShieffieldUnited"
"DF","WAL","Rhys Norrington-Davies","ShieffieldUnited"
"MF","ENG","Andre Brooks","ShieffieldUnited"
"FW","ENG","Daniel Jebbison","ShieffieldUnited"
"GK","GER","Jordan Amissah","ShieffieldUnited"
"DF","ENG","Femi Seriki","ShieffieldUnited"
"FW","ENG","Antwoine Hackford","ShieffieldUnited"
"DF","ENG","Jili Buyabu","ShieffieldUnited"
"GK","ENG","James Trafford","Burnley"
"DF","IRL","Dara O'Shea","Burnley"
"DF","ENG","Charlie Taylor","Burnley"
"MF","ENG","Jack Cork (captain)","Burnley"
"DF","GER","Jordan Beyer","Burnley"
"DF","ENG","CJ Egan-Riley","Burnley"
"MF","ISL","Jóhann Berg Guðmundsson","Burnley"
"MF","ENG","Josh Brownhill (vice-captain)","Burnley"
"FW","ENG","Jay Rodriguez","Burnley"
"FW","BEL","Manuel Benson","Burnley"
"DF","WAL","Connor Roberts","Burnley"
"FW","ENG","Nathan Redmond","Burnley"
"MF","NOR","Sander Berge","Burnley"
"FW","RSA","Lyle Foster","Burnley"
"DF","SWE","Hjalmar Ekdal","Burnley"
"FW","MAR","Anass Zaroury","Burnley"
"GK","ITA","Denis Franchi","Burnley"
"MF","ENG","Aaron Ramsey","Burnley"
"DF","BRA","Vitinho","Burnley"
"MF","IRL","Josh Cullen","Burnley"
"FW","SUI","Zeki Amdouni","Burnley"
"FW","MKD","Darko Churlinov","Burnley"
"DF","BEL","Ameen Al-Dakhil","Burnley"
"GK","CHI","Lawrence Vigouroux","Burnley"
"FW","ITA","Luca Koleosho","Burnley"
"FW","BEL","Mike Trésor (on loan from Genk)","Burnley"
"FW","DEN","Jacob Bruun Larsen (on loan from 1899 Hoffenheim)","Burnley"
"MF","FRA","Han-Noah Massengo","Burnley"
"DF","BEL","Hannes Delcroix","Burnley"
"FW","IRL","Michael Obafemi","Burnley"
"FW","FRA","Wilson Odobert","Burnley"
"FW","BEL","Enock Agyei","Burnley"
"GK","KOS","Arijanet Muric","Burnley"
"GK","NED","Mark Flekken","Brentford"
"DF","SCO","Aaron Hickey","Brentford"
"DF","ENG","Rico Henry","Brentford"
"DF","ENG","Charlie Goode","Brentford"
"DF","JAM","Ethan Pinnock","Brentford"
"MF","DEN","Christian Nørgaard (captain)","Brentford"
"FW","FRA","Neal Maupay (on loan from Everton)","Brentford"
"MF","DEN","Mathias Jensen (3rd captain)","Brentford"
"FW","GER","Kevin Schade","Brentford"
"MF","ENG","Josh Dasilva","Brentford"
"FW","COD","Yoane Wissa","Brentford"
"DF","DEN","Mathias Jørgensen","Brentford"
"MF","IRN","Saman Ghoddos","Brentford"
"MF","NGA","Frank Onyeka","Brentford"
"DF","ENG","Ben Mee","Brentford"
"FW","ENG","Ivan Toney (vice-captain)","Brentford"
"FW","CMR","Bryan Mbeumo","Brentford"
"DF","NOR","Kristoffer Ajer","Brentford"
"GK","ALB","Thomas Strakosha","Brentford"
"DF","IRL","Nathan Collins","Brentford"
"MF","ENG","Keane Lewis-Potter","Brentford"
"MF","DEN","Mikkel Damsgaard","Brentford"
"MF","ENG","Myles Peart-Harris","Brentford"
"MF","GRN","Shandon Baptiste","Brentford"
"MF","GER","Vitaly Janelt (4th captain)","Brentford"
"DF","DEN","Mads Roerslev","Brentford"
"MF","UKR","Yehor Yarmolyuk","Brentford"
"GK","ENG","Ellery Balcombe","Brentford"
"GK","ENG","Sam Johnstone","CrystalPalace"
"DF","ENG","Joel Ward (captain)","CrystalPalace"
"DF","ENG","Tyrick Mitchell","CrystalPalace"
"DF","ENG","Rob Holding","CrystalPalace"
"DF","ENG","James Tomkins","CrystalPalace"
"DF","ENG","Marc Guéhi (vice-captain)","CrystalPalace"
"MF","FRA","Michael Olise","CrystalPalace"
"MF","COL","Jefferson Lerma","CrystalPalace"
"FW","GHA","Jordan Ayew","CrystalPalace"
"MF","ENG","Eberechi Eze","CrystalPalace"
"MF","BRA","Matheus França","CrystalPalace"
"FW","FRA","Jean-Philippe Mateta","CrystalPalace"
"MF","GHA","Jeffrey Schlupp","CrystalPalace"
"DF","DEN","Joachim Andersen","CrystalPalace"
"DF","ENG","Nathaniel Clyne","CrystalPalace"
"MF","ENG","Will Hughes","CrystalPalace"
"FW","FRA","Odsonne Édouard","CrystalPalace"
"MF","ENG","Malcolm Ebiowei","CrystalPalace"
"DF","USA","Chris Richards","CrystalPalace"
"MF","MLI","Cheick Doucouré","CrystalPalace"
"MF","FRA","Naouirou Ahamada","CrystalPalace"
"GK","ENG","Dean Henderson","CrystalPalace"
"GK","ENG","Remi Matthews","CrystalPalace"
"DF","ENG","Nathan Ferguson","CrystalPalace"
"MF","NED","Jaïro Riedewald","CrystalPalace"
"FW","ENG","Jesurun Rak-Sakyi","CrystalPalace"
"GK","ENG","Jordan Pickford","Everton"
"DF","SCO","Nathan Patterson","Everton"
"DF","ENG","Michael Keane","Everton"
"DF","ENG","James Tarkowski (vice-captain)","Everton"
"FW","ENG","Dwight McNeil","Everton"
"MF","BEL","Amadou Onana","Everton"
"FW","ENG","Dominic Calvert-Lewin","Everton"
"FW","NED","Arnaut Danjuma (on loan from Villarreal)","Everton"
"FW","ENG","Jack Harrison (on loan from Leeds United)","Everton"
"GK","POR","João Virgínia","Everton"
"FW","POR","Beto","Everton"
"MF","MLI","Abdoulaye Doucouré","Everton"
"DF","ENG","Ashley Young","Everton"
"DF","UKR","Vitaliy Mykolenko","Everton"
"MF","ENG","Dele Alli","Everton"
"MF","POR","André Gomes","Everton"
"DF","ENG","Ben Godfrey","Everton"
"DF","IRL","Séamus Coleman (captain)","Everton"
"MF","SEN","Idrissa Gueye","Everton"
"FW","POR","Youssef Chermiti","Everton"
"GK","ENG","Andy Lonergan","Everton"
"DF","ENG","Jarrad Branthwaite","Everton"
"MF","ENG","James Garner","Everton"
"GK","ENG","Billy Crellin","Everton"
"FW","ENG","Lewis Dobbin","Everton"
"MF","ENG","Tyler Onyango","Everton"
"GK","ESP","Robert Sánchez","Chelsea"
"DF","FRA","Axel Disasi","Chelsea"
"DF","ESP","Marc Cucurella","Chelsea"
"DF","FRA","Benoît Badiashile","Chelsea"
"DF","BRA","Thiago Silva","Chelsea"
"FW","ENG","Raheem Sterling","Chelsea"
"MF","ARG","Enzo Fernández","Chelsea"
"FW","UKR","Mykhailo Mudryk","Chelsea"
"FW","ENG","Noni Madueke","Chelsea"
"GK","ENG","Marcus Bettinelli","Chelsea"
"DF","ENG","Trevoh Chalobah","Chelsea"
"FW","SEN","Nicolas Jackson","Chelsea"
"MF","FRA","Lesley Ugochukwu","Chelsea"
"MF","ENG","Carney Chukwuemeka","Chelsea"
"FW","FRA","Christopher Nkunku","Chelsea"
"FW","ALB","Armando Broja","Chelsea"
"MF","ENG","Cole Palmer","Chelsea"
"DF","ENG","Ben Chilwell (vice-captain)","Chelsea"
"MF","ENG","Conor Gallagher (3rd captain)","Chelsea"
"DF","ENG","Reece James (captain)","Chelsea"
"MF","ECU","Moisés Caicedo","Chelsea"
